0, 0
1, 0
2, 0
3, 0
4, 0
5, 0
6, 0
7, 0
8, 0
9, 0
10, 0
11, 0
12, 0
13, 0
14, 0
15, 0
16, 0
17, 0
18, 0
19, 0
20, 0
21, 0
22, 0
23, 0
24, 1
25, 0
26, 0
27, 1
28, 5
29, 11
30, 12
31, 11
32, 18
33, 38
34, 55
35, 75
36, 79
37, 119
38, 157
39, 226
40, 246
41, 224
42, 275
43, 390
44, 646
45, 979
46, 1171
47, 1222
48, 1508
49, 1949
50, 2321
51, 2430
52, 2315
53, 2133
54, 1957
55, 2081
56, 2228
57, 2455
58, 2431
59, 2810
60, 2682
61, 2995
62, 3281
63, 3400
64, 3191
65, 3007
66, 2701
67, 2619
68, 2574
69, 2733
70, 2749
71, 2703
72, 2701
73, 2815
74, 3032
75, 2962
76, 2830
77, 2910
78, 2944
79, 3039
80, 2997
81, 2815
82, 2739
83, 2837
84, 2908
85, 3361
86, 3345
87, 3354
88, 3495
89, 3556
90, 3957
91, 4309
92, 4499
93, 4697
94, 5181
95, 5618
96, 6017
97, 6592
98, 7044
99, 7122
100, 7297
101, 7640
102, 8016
103, 8407
104, 8557
105, 8715
106, 8837
107, 8855
108, 9284
109, 9445
110, 9417
111, 9547
112, 9424
113, 9521
114, 9262
115, 9574
116, 9601
117, 9286
118, 8937
119, 9260
120, 9396
121, 9538
122, 9959
123, 9940
124, 10121
125, 10356
126, 10361
127, 10457
128, 10774
129, 10693
130, 10561
131, 10250
132, 10280
133, 10175
134, 10233
135, 9881
136, 9729
137, 9142
138, 8881
139, 9145
140, 8785
141, 9038
142, 9043
143, 8687
144, 8627
145, 8400
146, 7589
147, 7244
148, 7284
149, 6957
150, 6970
151, 6506
152, 6032
153, 5616
154, 5581
155, 5435
156, 5311
157, 5321
158, 4976
159, 4372
160, 3700
161, 3338
162, 2888
163, 2651
164, 2266
165, 2188
166, 2064
167, 1806
168, 1761
169, 1734
170, 1782
171, 1698
172, 1589
173, 1552
174, 1497
175, 1480
176, 1321
177, 1196
178, 1132
179, 1040
180, 1046
181, 974
182, 996
183, 978
184, 984
185, 952
186, 966
187, 950
188, 997
189, 1017
190, 1127
191, 1089
192, 1073
193, 1075
194, 1014
195, 1037
196, 1040
197, 1107
198, 1175
199, 1120
200, 1196
201, 1281
202, 1201
203, 1161
204, 1149
205, 1066
206, 1092
207, 1074
208, 1056
209, 972
210, 810
211, 720
212, 446
213, 195
214, 170
215, 145
216, 131
217, 113
218, 104
219, 130
220, 115
221, 110
222, 109
223, 113
224, 112
225, 100
226, 125
227, 108
228, 100
229, 101
230, 89
231, 89
232, 101
233, 98
234, 90
235, 93
236, 99
237, 78
238, 68
239, 90
240, 85
241, 77
242, 76
243, 85
244, 75
245, 82
246, 76
247, 91
248, 72
249, 85
250, 91
251, 109
252, 118
253, 171
254, 74
255, 0
